            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458888.500000000, A.D. 2020-Feb-09 00:00:00.0000, -1.126780112005578E+08,  9.710566249746875E+07,  4.206510751992464E+02, -1.987257924000847E+01, -2.272874553365140E+01,  5.782788149826246E-04,  4.961685343976759E+02,  1.487475845093368E+08,  2.158879672380982E-01,
2458889.500000000, A.D. 2020-Feb-10 00:00:00.0000, -1.143777477863459E+08,  9.512729085145593E+07,  4.797338734567165E+02, -1.947229031959573E+01, -2.306579509487184E+01,  7.986302029721060E-04,  4.962316199450278E+02,  1.487664970806417E+08,  2.218921149464284E-01,
2458890.500000000, A.D. 2020-Feb-11 00:00:00.0000, -1.160426692594239E+08,  9.312008228673252E+07,  5.600257328599691E+02, -1.906666253105589E+01, -2.339627357109079E+01,  1.066407183490270E-03,  4.962964170669800E+02,  1.487859227691031E+08,  2.277332008034566E-01,
2458891.500000000, A.D. 2020-Feb-12 00:00:00.0000, -1.176723107915527E+08,  9.108460386507808E+07,  6.648227929286659E+02, -1.865560779876884E+01, -2.372018370896420E+01,  1.362353143713690E-03,  4.963628512270934E+02,  1.488058392292586E+08,  2.332229921193774E-01,
2458892.500000000, A.D. 2020-Feb-13 00:00:00.0000, -1.192661989632279E+08,  8.902142592100659E+07,  7.956226337663829E+02, -1.823902170260219E+01, -2.403744609118705E+01,  1.664657905731559E-03,  4.964307975074121E+02,  1.488262090116473E+08,  2.382044553862909E-01,
2458893.500000000, A.D. 2020-Feb-14 00:00:00.0000, -1.208238519611920E+08,  8.693112909665379E+07,  9.520499568469822E+02, -1.781681981929562E+01, -2.434790391085243E+01,  1.952298186612467E-03,  4.965000927623888E+02,  1.488469832064645E+08,  2.425714195844682E-01,
2458894.500000000, A.D. 2020-Feb-15 00:00:00.0000, -1.223447825272848E+08,  8.481431022389652E+07,  1.132044086091220E+03, -1.738896360276003E+01, -2.465134339460763E+01,  2.207609035524527E-03,  4.965705513514576E+02,  1.488681061600687E+08,  2.462736155733923E-01,
2458895.500000000, A.D. 2020-Feb-16 00:00:00.0000, -1.238285024967901E+08,  8.267158613137016E+07,  1.332213794481009E+03, -1.695547123280033E+01, -2.494751966367393E+01,  2.417560210085767E-03,  4.966419804571136E+02,  1.488895200672261E+08,  2.493096522142441E-01,
2458896.500000000, A.D. 2020-Feb-17 00:00:00.0000, -1.252745277036486E+08,  8.050359531167774E+07,  1.548249875292182E+03, -1.651641611057006E+01, -2.523617932979458E+01,  2.573881141696432E-03,  4.967141923918369E+02,  1.489111686606337E+08,  2.517142532157668E-01,
2458897.500000000, A.D. 2020-Feb-18 00:00:00.0000, -1.266823824296245E+08,  7.831099793371733E+07,  1.775315708190203E+03, -1.607191879468361E+01, -2.551707597589978E+01,  2.672512938179494E-03,  4.967870131127792E+02,  1.489329997635583E+08,  2.535454459876983E-01,
2458898.500000000, A.D. 2020-Feb-19 00:00:00.0000, -1.280516030625922E+08,  7.609447482286653E+07,  2.008378459099680E+03, -1.562213741679333E+01, -2.578997885244241E+01,  2.712844721791896E-03,  4.968602874283342E+02,  1.489549668507268E+08,  2.548746729708873E-01,
2458899.500000000, A.D. 2020-Feb-20 00:00:00.0000, -1.293817409676220E+08,  7.385472590456472E+07,  2.242475460011512E+03, -1.516725930272505E+01, -2.605467701791727E+01,  2.697004799095737E-03,  4.969338818552980E+02,  1.489770299048814E+08,  2.557803083870236E-01,
2458900.500000000, A.D. 2020-Feb-21 00:00:00.0000, -1.306723647159285E+08,  7.159246840300448E+07,  2.472925339624286E+03, -1.470749447608981E+01, -2.631098118852149E+01,  2.629293283510137E-03,  4.970076860033870E+02,  1.489991558318476E+08,  2.563437298328872E-01,
2458901.500000000, A.D. 2020-Feb-22 00:00:00.0000, -1.319230618195308E+08,  6.930843492334190E+07,  2.695495600152761E+03, -1.424307059233763E+01, -2.655872474522257E+01,  2.515732367774248E-03,  4.970816130555082E+02,  1.490213186045157E+08,  2.566467921568683E-01,
2458902.500000000, A.D. 2020-Feb-23 00:00:00.0000, -1.331334400630495E+08,  6.700337146117945E+07,  2.906534274775535E+03, -1.377422856520707E+01, -2.679776443614750E+01,  2.363674794558790E-03,  4.971555996124611E+02,  1.490434992162836E+08,  2.567698378506973E-01,
2458903.500000000, A.D. 2020-Feb-24 00:00:00.0000, -1.343031284679956E+08,  6.467803536625590E+07,  3.103068531282246E+03, -1.330121838409823E+01, -2.702798068918495E+01,  2.181425505826340E-03,  4.972296049902450E+02,  1.490656854703946E+08,  2.567898653210782E-01,
2458904.500000000, A.D. 2020-Feb-25 00:00:00.0000, -1.354317778998782E+08,  6.233319330716012E+07,  3.282870698224753E+03, -1.282429505278847E+01, -2.724927722555703E+01,  1.977867609589623E-03,  4.973036100147971E+02,  1.490878716186094E+08,  2.567789090297652E-01,
2458905.500000000, A.D. 2020-Feb-26 00:00:00.0000, -1.365190613395710E+08,  5.996961930741118E+07,  3.444492980860174E+03, -1.234371494974260E+01, -2.746157978598609E+01,  1.762117915488304E-03,  4.973776154146365E+02,  1.491100578793326E+08,  2.568029256416499E-01,
2458906.500000000, A.D. 2020-Feb-27 00:00:00.0000, -1.375646738748392E+08,  5.758809292662968E+07,  3.587275196101516E+03, -1.185973306515926E+01, -2.766483409702998E+01,  1.543254051965093E-03,  4.974516400035320E+02,  1.491322498927900E+08,  2.569214917319807E-01,
2458907.500000000, A.D. 2020-Feb-28 00:00:00.0000, -1.385683325048748E+08,  5.518939763457818E+07,  3.711333408605307E+03, -1.137260147670654E+01, -2.785900354076842E+01,  1.330149860683250E-03,  4.975257189122062E+02,  1.491544581909074E+08,  2.571884485185293E-01,
2458908.500000000, A.D. 2020-Feb-29 00:00:00.0000, -1.395297758709038E+08,  5.277431937505077E+07,  3.817539623852819E+03, -1.088256914697939E+01, -2.804406721519538E+01,  1.131432715839154E-03,  4.975999021305174E+02,  1.491766977602672E+08,  2.576533673415449E-01,
2458909.500000000, A.D. 2020-Mar-01 00:00:00.0000, -1.404487640174987E+08,  5.034364525338046E+07,  3.907502505075186E+03, -1.038988275655892E+01, -2.822001913345172E+01,  9.555437880930384E-04,  4.976742535452200E+02,  1.491989877536367E+08,  2.583634343737071E-01,
2458910.500000000, A.D. 2020-Mar-02 00:00:00.0000, -1.413250782475563E+08,  4.789816221980917E+07,  3.983555893737823E+03, -9.894787892422769E+00, -2.838686921290570E+01,  8.108461125839739E-04,  4.977488505050670E+02,  1.492213513595886E+08,  2.593650945040873E-01,
2458911.500000000, A.D. 2020-Mar-03 00:00:00.0000, -1.421585210577081E+08,  4.543865557448235E+07,  4.048755512651056E+03, -9.397529505710436E+00, -2.854464644958690E+01,  7.056870300221618E-04,  4.978237837183649E+02,  1.492438157717890E+08,  2.607045408599744E-01,
2458912.500000000, A.D. 2020-Mar-04 00:00:00.0000, -1.429489160291725E+08,  4.296590710451566E+07,  4.106874418174848E+03, -8.898350140202883E+00, -2.869340418721009E+01,  6.482811542181111E-04,  4.978991569883864E+02,  1.492664121096762E+08,  2.624258885761614E-01,
2458913.500000000, A.D. 2020-Mar-05 00:00:00.0000, -1.436961074044904E+08,  4.048069270588999E+07,  4.162374608052894E+03, -8.397484120610493E+00, -2.883322651061557E+01,  6.462457916711628E-04,  4.979750859325630E+02,  1.492891750344843E+08,  2.645657376564094E-01,
2458914.500000000, A.D. 2020-Mar-06 00:00:00.0000, -1.443999589252468E+08,  3.798377948413504E+07,  4.220317347746342E+03, -7.895146041924389E+00, -2.896423337345163E+01,  7.056238138805071E-04,  4.980516944857440E+02,  1.493121417009462E+08,  2.671431358632702E-01,
2458915.500000000, A.D. 2020-Mar-07 00:00:00.0000, -1.450603514078997E+08,  3.547592261041012E+07,  4.286163981365040E+03, -7.391513213678702E+00, -2.908658030334413E+01,  8.293322547885396E-04,  4.981291078590314E+02,  1.493353496464061E+08,  2.701452537502124E-01,
2458916.500000000, A.D. 2020-Mar-08 00:00:00.0000, -1.456771786273549E+08,  3.295786262597308E+07,  4.365424086617306E+03, -6.886704878074522E+00, -2.920044747033143E+01,  1.015247781587902E-03,  4.982074410745325E+02,  1.493588333536243E+08,  2.735118094306410E-01,
2458917.500000000, A.D. 2020-Mar-09 00:00:00.0000, -1.462503415165761E+08,  3.043032429247188E+07,  4.463143716411665E+03, -6.380765624398705E+00, -2.930601462822955E+01,  1.254560921070791E-03,  4.982867835817883E+02,  1.493826196388984E+08,  2.771247990425205E-01,
